View,Card / Section,Tier,Recommended placement,Action,Default state,Priority,Effort,Rationale
Account,Login / sign-up card,primary-action,Centered gate,keep,always-visible,P3,S,Auth gate; already a clean single-card login page.
Account,Signed-in status + change-password,primary-action,Centered gate,keep,always-visible,P3,S,"Account status, save, sign-out, change password; complete."
Challenges,Per-challenge: today's rules check-in,primary-action,Inside challenge card,keep,always-visible,P0,S,Daily rule check-in is the primary action; must be visible.
Challenges,Challenges header / new-challenge,primary-action,Top: new challenge,keep,always-visible,P1,S,Create-challenge entry point belongs at top.
Challenges,Per-challenge card: progress ring + bar + headline,daily-glance,Mid: active challenges,keep,always-visible,P1,S,Per-challenge status is the core grid.
Challenges,Per-challenge: calendar grid,daily-glance,Inside challenge card (collapsed),collapse,collapsed,P2,S,Full calendar is heavy; collapse so the daily check-in stays prominent.
Challenges,Per-challenge: stats block,daily-glance,Inside challenge card,keep,always-visible,P2,S,Streak/days-left stats are lightweight glance.
Challenges,Completed & archived,reference,Bottom: archive (collapsed),keep,collapsed,P3,S,Already collapsed reference; fine.
Coaching,Today: <focus>,daily-glance,Top: today's focus,promote,always-visible,P1,S,Today's scheduled focus is the daily-use hook; lift above the roadmap.
Coaching,12-week program · beginner → 4.0,primary-action,Top: program hero,keep,always-visible,P1,S,Program hero is the spine of the coaching view.
Coaching,The 12-week roadmap,primary-action,Mid: roadmap,keep,collapsed,P2,S,Full curriculum; collapse below today's focus.
Coaching,Drill library,reference,Mid: reference (collapsed),keep,collapsed,P3,S,Static drills; collapsed.
Coaching,How to play every shot,reference,Mid: reference (collapsed),keep,collapsed,P3,S,Technique guide; collapsed.
Coaching,Knee rehab & prehab · ACL / MCL,reference,Bottom: reference (collapsed),keep,collapsed,P3,S,Static rehab; collapsed at bottom.
Coaching,Mental game,reference,Bottom: reference (collapsed),keep,collapsed,P3,S,Static mindset content; collapsed.
Coaching,Skill ladder · 2.0 → 4.5+,reference,Mid: reference (collapsed),keep,collapsed,P3,S,Already collapsed reference; fine.
Collections,Brain-dump inbox,primary-action,Top: triage,promote,always-visible,P0,S,Unfiled-entry triage is an active daily job; promote above reference lists.
Collections,Custom collections,primary-action,Mid: collections,keep,always-visible,P1,S,Core create/list surface for the view.
Collections,Future log,daily-glance,Top: upcoming (2-col),keep,always-visible,P1,S,Future-dated items are a glanceable planning aid.
Collections,Index,daily-glance,Top: jump to,keep,always-visible,P1,S,Table of contents is the navigation spine of Collections.
Collections,Birthdays,primary-action,Mid: people (2-col),keep,collapsed,P2,S,Pairs with Friends; both fold into a People accordion.
Collections,FriendsCard,primary-action,Mid: people (2-col),keep,collapsed,P2,S,People management is occasional; pair with birthdays and collapse.
Collections,Memories,daily-glance,Low: auto-pages,keep,collapsed,P3,S,Auto-generated feed; fine low and foldable.
Collections,Tags,reference,Low: auto-pages,keep,collapsed,P3,S,Auto tag chips are reference; collapse at the bottom.
Cycle,Daily entry,primary-action,Top: log,promote,always-visible,P1,S,"Logging should lead; chart follows the action, not the reverse."
Cycle,Cycle & temperature,daily-glance,Top: chart (below log),keep,always-visible,P2,S,Temperature chart is the glance; keep but below the entry table.
Fitness (Cardio tab),Log a workout,primary-action,Top: log (move from rail),move,always-visible,P0,S,Logging is the primary job; pull out of right rail so it leads on mobile.
Fitness (Cardio tab),Body-weight progress,analytics,MERGE into Gym Body weight,merge,collapsed,P1,M,Same daily-weight chart exists in Gym; keep one canonical bodyweight card shared across tabs.
Fitness (Cardio tab),This week,daily-glance,Top: this-week status,merge,always-visible,P1,M,Weekly ring overlaps the Hub ring; consolidate to avoid double goal displays.
Fitness (Cardio tab),At a glance,analytics,Section: Cardio analytics (collapsed),collapse,collapsed,P1,S,Stat tiles are analytics; fold below logging like the Gym deep-analytics pattern.
Fitness (Cardio tab),History,primary-action,Top: log (move from rail),move,always-visible,P1,S,"Recent log belongs beside the form, in the main column on mobile."
Fitness (Cardio tab),Calorie trend,analytics,Inside Nutrition (collapsed),merge,collapsed,P2,S,Calorie trend belongs with the Nutrition card it analyses.
Fitness (Cardio tab),Cardio bests,analytics,Section: Cardio analytics (collapsed),collapse,collapsed,P2,S,PB badges are reference-grade analytics; collapse.
Fitness (Cardio tab),Training calendar,analytics,Section: Cardio analytics (collapsed),collapse,collapsed,P2,S,Heatmap is deep history; collapse.
Fitness (Cardio tab),Nutrition,primary-action,Mid: nutrition,keep,collapsed,P2,S,Secondary logging surface; collapse so cardio logging stays primary.
Fitness (Cardio tab),Edit workout dialog,primary-action,Modal (on demand),keep,n/a,P3,S,On-demand edit overlay; no change.
FitnessHub,Strength / Cardio tab switcher,primary-action,Top: tabs,keep,always-visible,P0,S,Primary navigation between the two fitness sub-views.
FitnessHub,Active-minutes ring (this week),daily-glance,Top: this-week status,merge,always-visible,P1,M,Same weekly active-minutes goal as Cardio 'This week' ring; unify into one hub status.
FitnessHub,Next-split banner,daily-glance,Top: this-week status,keep,always-visible,P1,S,Actionable jump-to-next-split; good top-of-hub nudge.
Focus,Log a session (right rail),primary-action,Top: timer + log (move from rail),move,always-visible,P0,S,Session logging must lead; pull from rail into the main column.
Focus,Coding minutes,analytics,Section: Focus analytics (collapsed),collapse,collapsed,P1,S,Chart sitting beside This week adds noise; fold into one analytics section.
Focus,Pomodoro (right rail),primary-action,Top: timer + log (move from rail),move,always-visible,P1,S,Timer is a primary action; surface in main flow on mobile.
Focus,This week,daily-glance,Top: this-week status,keep,always-visible,P1,S,Week tiles + insights are the right glance for Focus.
Focus,Typing practice,primary-action,Mid: typing (collapsed),collapse,collapsed,P2,S,Separate tracker; fold into its own accordion so it doesn't crowd coding logging.
Focus,Cumulative coding hours,analytics,Section: Focus analytics (collapsed),keep,collapsed,P2,S,Already conditional; group into the analytics section.
Focus,Deep-work heatmap,analytics,Section: Focus analytics (collapsed),keep,collapsed,P2,S,Heatmap; grouped and collapsed.
Focus,History,primary-action,Bottom: log history,keep,collapsed,P2,S,"Editable session list; bottom, collapsible."
Focus,Focus quality by weekday,analytics,Section: Focus analytics (collapsed),merge,collapsed,P3,S,Two weekday charts (volume + quality) should combine into one toggleable card.
Focus,Focus by project,analytics,Section: Focus analytics (collapsed),keep,collapsed,P3,S,Project breakdown; collapsed.
Focus,Focus by weekday,analytics,Section: Focus analytics (collapsed),keep,collapsed,P3,S,Weekday split; collapsed.
Focus,Interruptions trend,analytics,Section: Focus analytics (collapsed),keep,collapsed,P3,S,Trend chart; collapsed.
Focus,Languages & tools,analytics,Section: Focus analytics (collapsed),keep,collapsed,P3,S,Tag breakdown; collapsed.
Goals,Custom goals,primary-action,Mid: your goals,keep,always-visible,P1,S,User-defined goals with steppers are the primary action here.
Goals,Goals,daily-glance,Top: roll-up,keep,always-visible,P1,S,Cross-view derived-goals roll-up is the point of this view.
Gym (Strength tab),Today's session,primary-action,Top: log,keep,always-visible,P0,S,The strength logger is the core action; stays at top.
Gym (Strength tab),Training volume,analytics,Section: Training insights (collapsed),collapse,collapsed,P1,S,Volume charts are analytics; fold into the insights section default-collapsed.
Gym (Strength tab),Body weight,primary-action,"Mid: bodyweight (canonical, shared)",keep,collapsed,P1,M,Canonical bodyweight log/chart; Cardio tab's version merges here.
Gym (Strength tab),Rest timer,primary-action,Right rail (sticky) / inline on mobile,keep,always-visible,P1,S,Used mid-session; keep accessible but ensure it surfaces inline on mobile.
Gym (Strength tab),Progress photos,primary-action,Mid: progress (collapsed),collapse,collapsed,P2,S,Occasional input; fold below logging.
